id,day,month,names,celebrations
008c4910-8cca-43fb-b2a1-52d9da8ce1b6,15,Ιούλιος,"Βλαδίμηρος, Βλαντίμηρος, Κήρυκος, Ιουλίτα, Ιουλίτη, Ιουλίττα, Ιουλίττη, Γιουλίτα, Γιουλίτη","Αγίου Βλαδιμήρου βασιλέως Ρωσίας, Αγίων Κηρύκου και Ιουλίττης Μεγαλομαρτύρων"
01179f31-ebd3-4f83-bbbd-ce4c85311f32,25,Οκτώβριος,"Χρυσάνθη, Χρυσάφιος, Χρυσάφης, Χρυσαφένια","Αγίας Ταβιθά, Αγίας Χρυσάνθης, Αγίου Χρυσαφίου"
017748f5-9547-4f0f-bb3e-234d6521a9f4,23,Φεβρουάριος,"Πολύκαρπος, Πολυχρόνης",Αγίου Πολυκάρπου
0266ccf0-15c3-44ab-9624-5750ae358730,6,Νοέμβριος,Λεονάρδος,Οσίου Λεονάρδου
02adcd9d-393f-4379-b899-cf2746231910,13,Απρίλιος,"Γερόντιος, Μαρτίνος, Μαρτίνη, Μαρτίνα, Τίνα, Βάια, Βάγια, Βαία, Βάιος, Δάφνη, Δάφνης","Αγίας Θεοδοσίας και Γεροντίου, Αγίου Μαρτίνου"
02c91967-e080-42c1-bfce-e5b53e5278bf,5,Μάιος,"Ειρήνη, Ρένα, Ρήνα, Ρηνιώ, Ρηνούλα, Ειρήνα, Ειρήνγκω, Ρένια, Ειρηναίος, Ρένος, Ειρηναία, Εφραίμ, Εφραίμιος, Εφραίμης, Ευφραίμ, Εφραιμία, Ευφραιμία, Ευφραιμίτσα","Αγίας Ειρήνης Μεγαλομάρτυρος, Αγίου Ειρηναίου, Αγίου Εφραίμ Μεγαλομάρτυρος"
038628eb-6950-4f9b-bf29-ac50fa3043b5,28,Αύγουστος,"Δάμων, Δάμωνας",Μάρτυρος Δάμωνος πρεσβυτέρου
04004f83-fadb-4f77-9cea-ed2526490692,5,Ιανουάριος,"Θεώνη, Θεωνάς, Θεόπεμπτος, Θεόπεμπτη, Συγκλητική","Αγίων Θεόπεμπτου και Θεωνά, Οσίας Συγκλητικής"
042b2ec6-7933-430f-aa0a-d48ebbbd21af,3,Ιούλιος,"Ανατόλιος, Ζουμπουλία, Υάκινθος, Υακίνθη, Υάνθη, Ιάνθη","Αγίων Ανατολίου και Ευλαμπίου, Αγίου Υακίνθου μάρτυρος"
04a4f513-0807-43bf-8de4-64aeeb00475a,17,Ιούνιος,"Ισμαήλ, Ισμαήλης, Ισμαήλος, Σμαήλης, Σμαήλος, Μαήλης, Μαήλος, Φήλιξ, Φίληξ, Φίλιξ, Φίληκας, Φίληξα, Φιλήκη, Φηλικίτη","Αγίου Ισμαήλ μάρτυρος, Αγίου Φήλικος"
04f5785e-4b6f-4339-b803-651ffecac34a,1,Ιανουάριος,"Βασίλειος, Βασίλης, Βάσος, Βασιλεία, Βασιλική, Βάσω, Βάσια, Βιβή, Βίκυ, Βίβιαν, Βασιλίνα, Εμμέλεια, Εμμελεία, Τηλέμαχος, Τηλεμάχη","Περιτομή Ιησού Χριστού, Μεγάλου Βασιλείου, Αγίας Εμμελείας, Αγίου Τηλεμάχου"
061037d1-cf65-4f44-af95-c7f5e511f4c4,13,Σεπτέμβριος,"Αριστείδης, Αρίστος, Άρης, Αριστέα, Αριστούλα, Αριστίνα, Κορνήλιος, Κορνήλης, Κορνήλος, Κορνηλία, Κορνήλα","Αγίου Αριστείδου μάρτυρος, Ιερομάρτυρος Κορνηλίου"
073f7ca8-7100-4a70-8d9c-8948b8683ac7,22,Ιανουάριος,"Αναστάσιος, Τάσος, Αναστάσης, Ανέστης, Αναστασία, Τασούλα, Τιμόθεος, Τίμος, Τιμάς, Τίμης, Θέος, Τιμοθέη, Τιμοθέα, Τίμα, Τίμη, Θέα, Θέη","Τιμοθέου Αποστόλου, Αγίου Αναστασίου του Πέρση"
07e3c4b7-878c-4c19-a23c-61162cf1959f,1,Νοέμβριος,"Κοσμάς, Δαμιανός, Δαμιανή, Ανάργυρος, Ανάργυρη, Αναργυρούλα, Δαβίδ, Δαυίδ, Διόνυσος","Αγίων Κοσμά και Δαμιανού των Αναργύρων, Οσίου Δαβίδ του Γέροντος εν Ευβοία, Οσιομάρτυρος Διονυσίου"
082883b6-ec26-4c80-b24f-f3b3d4c101d9,16,Ιούνιος,"Μνημόνιος, Τύχων, Τίχων",Αγίων Μνημονίου και Τύχωνος επισκόπων Αμαθούντος των θαυματουργών
089f7cda-12d9-493d-8016-68e7b1fafd96,29,Ιανουάριος,"Βαρσιμαίος, Βαρσάμης, Βαρσαμία, Βαρσάμω, Βαλσάμω, Βαλσαμία",Αγίου Βαρσιμαίου
0a3b62a1-79bf-4b4e-8f53-70fb5ff71328,25,Σεπτέμβριος,"Ευφροσύνη, Φροσύνη, Φρόσω, Ευφροσύνα, Φροσούλα, Φροσού, Έφη",Οσίων Ευφροσύνης και Παφνουτίου
0a693eac-ce28-4fbc-a325-d31ba33058a6,31,Δεκέμβριος,"Μελανία, Μέλανυ, Μελανή, Μαύρη",Οσίας Μελάνης της Ρωμαίας
0bafc0f3-2e09-4bce-9965-e6e3848ccaea,8,Φεβρουάριος,"Ζαχαρίας, Ζάχαρης, Ζάχαρος, Ζάκι, Ζάκης, Ζαχαρένια, Ζαχάρω, Ζαχαρούλα, Ζαχαρίτσα, Μάρθα","Προφήτου Ζαχαρία, Αγίων Μάρθας Μαρίας και Λυκαρίωνος, Αγίου Θεοδώρου του Στρατηλάτη"
0bec08c2-8727-4ab3-a4b7-ddf1689c32f9,21,Αύγουστος,"Αποστόλου Θαδδαίου, Βάσσης και των τέκνων αυτής, Αλεξάνδρου του εν Ικονίω",NULL
0c322192-e4ac-4859-b2d6-0b9740613b8b,19,Οκτώβριος,"Κλεοπάτρα, Κλειώ, Πάτρα, Πατρούλα, Πατρίτσα, Φήλιξ, Φίληξ, Φίλιξ, Φίληκας, Φίληξα, Φιλήκη, Φηλικίτη","Οσίας Κλεοπάτρας, Αγίου Φίλωνος μάρτυρος"
0e83216b-ba91-4c74-a4e8-10f7f37f082a,17,Δεκέμβριος,"Δανιήλα, Δανιέλα, Δανιηλίτσα, Δανιήλ, Δανιήλος, Δανιέλος, Ντάνιελ, Ανανίας, Νίνος, Αζαρίας, Μισαήλ, Διονύσιος, Διονύσης, Νιόνιος, Νύσης, Ντένης, Διονυσία, Διονυσούλα, Νύσα, Σίσσυ, Ντενίζ, Ντενίς, Ίακχος, Ίακχη","Δανιήλ του Προφήτου και των Αγίων τριών παίδων, Αγίου Διονυσίου αρχιεπισκόπου Αιγίνης του θαυματουργού, Μάρτυρος Ιάκχου του Τριγληνού"
0fd23f99-3881-4946-a76d-a4a0f89412c1,7,Οκτώβριος,"Σέργιος, Σεργία, Σεργιανή, Σεργιούλα, Βάκχος, Βάκχη, Βακχία, Πολυχρόνης, Πολυχρόνιος, Χρόνης, Πολυχρονία, Πολυχρονούλα","Μαρτύρων Σεργίου και Βάκχου, Ιερομάρτυρος Πολυχρονίου"
11c45669-96eb-4dca-8f6d-2a949447afb9,23,Μάιος,NULL,"Μαρτύρων Σελεύκου και Σαλωνά του Ρωμαίου, Οσιομάρτυρος Λουκά εν Μυτιλήνη, Μυροφόρου Μαρίας του Κλωπά"
12e082a7-19f1-4cf4-905d-2a38657d2aa2,12,Σεπτέμβριος,NULL,"Απόδοσις της εορτής του Γενεσίου της Θεοτόκου, Ιερομαρτύρων Αυτονόμου και Κουρνούτου επισκόπου Ικονίου"
