id,day,month,title,description
004d3c1a-1aaa-43c8-b2f4-7a3eb8b7410b,31,Οκτώβριος,Παγκόσμια Ημέρα Αποταμίευσης,
01bad968-c75f-49d5-9a75-bc20b532dac9,13,Φεβρουάριος,Παγκόσμια Ημέρα Κινηματογράφου,
03a29648-159d-41b8-afc1-068edd731fb1,17,Νοέμβριος,Παγκόσμια Ημέρα Χρόνιας Αποφρακτικής Πνευμονοπάθειας,Προωθεί τον σεβασμό και την αποδοχή της πολιτιστικής ποικιλομορφίας.
0460cf56-390a-4d23-ad0b-8e17de0d04e9,15,Οκτώβριος,Διεθνής Ημέρα της Γυναίκας της Υπαίθρου,Αναγνωρίζει τον ρόλο των γυναικών της υπαίθρου στη βιώσιμη ανάπτυξη.
057a2821-7670-4342-ac18-e1a3d8b8c191,14,Οκτώβριος,Παγκόσμια Ημέρα Προτύπων (Τυποποίησης),
05f52664-7774-4318-aca6-599c92ce5dba,5,Ιούνιος,Παγκόσμια Ημέρα Περιβάλλοντος,Γιορτάζει την περιβαλλοντική δράση και τη συλλογική ευθύνη για έναν βιώσιμο κόσμο.
0624aa0d-6124-43e4-936f-82d6085f55b0,14,Μάρτιος,Παγκόσμια Ημέρα της Σταθεράς π,
06ff1f86-0aa4-4dca-9388-239f2cbdb23e,22,Μάρτιος,Παγκόσμια Ημέρα για το Νερό,Ευαισθητοποιεί για την παγκόσμια κρίση του νερού και τον Στόχο Βιώσιμης Ανάπτυξης 6.
09d3821e-bfc2-4175-871d-d3872adea5ba,1,Ιούνιος,Παγκόσμια Ημέρα Γάλακτος,
0b3500d5-202c-4148-99cb-ca9d13d0344f,18,Σεπτέμβριος,Παγκόσμια Ημέρα Εθελοντικού Καθαρισμού των Ακτών,
0b4df925-3322-4eb9-9a59-11db8b649531,20,Νοέμβριος,Ημέρα για την Εκβιομηχάνιση της Αφρικής,
0d560ae3-e45f-47f0-83a0-cf99a9baf248,1,Μάιος,Διεθνής Ημέρα Εργατών,
0d687806-3003-4890-89ea-05213894ea5c,6,Φεβρουάριος,Παγκόσμια Ημέρα Δράσης των Σιδηροδρομικών,
